Position_x[pixels]	Position_y[pixels]	Relative_position_x[mm]	Relative_position_y[mm]	Relative_norm_position_x[mm]	Relative_norm_position_y[mm]	Dice_area[pixels^2]	Dice_area[mm^2]	Mean_grayscale_value	Mean_grayscale_value-central_area_of_dice	Mean_grayscale_value-cely_wafer	Mean_"gray"_kvadratic_deviation	Vertical_shape_asymmetry	Vertical_gray_asymmetry	Horizontal_shape_symetry	Area_to_perimeter_ratio	Filters:	Filter_grayscale	Filter_kvadratic_deviation	Filter_vertical_shape_asymmetry	Filter_vertical_color_asymmetry	Filter_horizontal_asymmetry	Filter_area_to_perimeter_ratio	CCT filter	Overall_filter (CCT filter excluded)	CCT_dice_mean	CCT_dice_mean_center	CCT_z_celeho_waferu	CCT_dice_difference	CIE_x	CIE_y	Cislo binu	Rozmery:	Horizontalni rozmer-stred-pixels	Horizontalni rozmer-stred	Horizontalni rozmer-nahore-pixels	Horizontalni rozmer-nahore	Horizontalni rozmer-dolu-pixels	Horizontalni rozmer-dolu	Vertikalni rozmer-stred-pixels	Vertikalni rozmer-stred	Vertikalni rozmer-vlevo-pixels	Vertikalni rozmer-vlevo	Vertikalni rozmer-vpravo-pixels	Vertikalni rozmer-vpravo	Orientace ctverecku
       146.54458	       1371.4446	      -4.0535483	       3.3770225	          -3	           2	        4150	      1.85932	       85.000000	       79.530000	       0.0000000	       10.367384	       36.000000	       12020.500	       37.000000	       17.219917	 	           1	           1	           1	           1	           1	           1	           1	           1	       6104.0616	       5869.0466	       0.0000000	       0.0000000	      0.32434684	      0.33942941	   4	 	       56.000002	       1.1853334	       57.000002	       1.2065000	       55.666668	       1.1782778	       74.000002	       1.5663334	       73.000002	       1.5451667	       74.000002	       1.5663334	           0
       209.37376	       1451.3023	      -2.7239130	       5.0675398	          -2	           3	        4337	      1.94310	       80.333333	       76.220000	       0.0000000	       8.1548702	       35.000000	       7264.5000	       41.000000	       18.222689	 	           1	           1	           1	           1	           1	           1	           1	           1	       5903.5613	       5726.8345	       0.0000000	       0.0000000	      0.32728573	      0.34397646	   1	 	       58.000002	       1.2276667	       59.000002	       1.2488334	       58.000002	       1.2276667	       74.666669	       1.5804445	       75.000002	       1.5875000	       74.000002	       1.5663334	           0
       209.41824	       1531.1119	      -2.7232206	       6.7568425	          -2	           4	        4354	      1.95071	       80.666667	       75.570000	       0.0000000	       9.0191801	       22.000000	       6990.0000	       13.000000	       17.844263	 	           1	           1	           1	           1	           1	           1	           1	           1	       5917.8827	       5698.9077	       0.0000000	       0.0000000	      0.32789076	      0.34491257	   1	 	       58.000002	       1.2276667	       58.666668	       1.2417778	       57.666668	       1.2206111	       75.000002	       1.5875000	       74.333336	       1.5733889	       75.000002	       1.5875000	           0
       209.16453	       1611.0807	      -2.7288402	       8.4495147	          -2	           5	        4364	      1.95519	       80.333333	       75.080000	       0.0000000	       9.0540713	       33.000000	       7432.0000	       29.000000	       18.413502	 	           1	           1	           1	           1	           1	           1	           1	           1	       5903.5613	       5677.8552	       0.0000000	       0.0000000	      0.32835326	      0.34562815	   1	 	       59.000002	       1.2488334	       59.000002	       1.2488334	       59.000002	       1.2488334	       74.666669	       1.5804445	       74.333336	       1.5733889	       74.000002	       1.5663334	           0
       209.05185	       1690.9674	      -2.7314745	       10.140450	          -2	           6	        4417	      1.97894	       82.000000	       77.080000	       0.0000000	       9.3301803	       4.0000000	       8732.0000	       4.0000000	       17.458498	 	           1	           1	           1	           1	           1	           1	           1	           1	       5975.1685	       5763.7839	       0.0000000	       0.0000000	      0.32649974	      0.34276038	   1	 	       58.666668	       1.2417778	       59.000002	       1.2488334	       59.000002	       1.2488334	       75.000002	       1.5875000	       75.000002	       1.5875000	       75.000002	       1.5875000	           0
       209.90046	       1051.8707	      -2.7115186	      -3.3870927	          -2	          -2	        4340	      1.94444	       84.833333	       80.060000	       0.0000000	       8.4408113	       25.000000	       8289.5000	       27.000000	       19.035088	 	           1	           1	           1	           1	           1	           1	           1	           1	       6096.9009	       5891.8177	       0.0000000	       0.0000000	      0.32389712	      0.33873361	   4	 	       59.000002	       1.2488334	       59.000002	       1.2488334	       59.000002	       1.2488334	       73.000002	       1.5451667	       74.000002	       1.5663334	       73.000002	       1.5451667	           0
       209.85016	       1131.6720	      -2.7128322	      -1.6979668	          -2	          -1	        4338	      1.94354	       84.666667	       78.880000	       0.0000000	       8.9844152	       26.000000	       7741.5000	       26.000000	       16.813953	 	           1	           1	           1	           1	           1	           1	           1	           1	       6089.7402	       5841.1197	       0.0000000	       0.0000000	      0.32490598	      0.34029451	   4	 	       59.000002	       1.2488334	       59.000002	       1.2488334	       58.000002	       1.2276667	       74.000002	       1.5663334	       74.000002	       1.5663334	       74.000002	       1.5663334	           0
       209.93339	       1211.5769	      -2.7113197	   -0.0066447042	          -2	           0	        4354	      1.95071	       81.500000	       75.700000	       0.0000000	       8.3419526	       10.000000	       8375.5000	       10.000000	       17.074511	 	           1	           1	           1	           1	           1	           1	           1	           1	       5953.6864	       5704.4931	       0.0000000	       0.0000000	      0.32776899	      0.34472416	   1	 	       59.000002	       1.2488334	       59.000002	       1.2488334	       58.666668	       1.2417778	       74.000002	       1.5663334	       74.000002	       1.5663334	       74.000002	       1.5663334	           0
       209.70477	       1291.5567	      -2.7164085	       1.6862592	          -2	           1	        4322	      1.93638	       80.333333	       75.970000	       0.0000000	       8.1403085	       30.000000	       7135.0000	       11.000000	       17.497976	 	           1	           1	           1	           1	           1	           1	           1	           1	       5903.5613	       5716.0935	       0.0000000	       0.0000000	      0.32751730	      0.34433475	   1	 	       58.000002	       1.2276667	       59.000002	       1.2488334	       58.000002	       1.2276667	       74.000002	       1.5663334	       74.000002	       1.5663334	       74.000002	       1.5663334	           0
       209.63002	       1371.5948	      -2.7182403	       3.3803981	          -2	           2	        4311	      1.93145	       80.500000	       76.510000	       0.0000000	       7.8186141	       16.000000	       6700.0000	       19.000000	       17.814049	 	           1	           1	           1	           1	           1	           1	           1	           1	       5910.7220	       5739.2942	       0.0000000	       0.0000000	      0.32701886	      0.34356357	   1	 	       58.000002	       1.2276667	       58.333335	       1.2347222	       58.000002	       1.2276667	       74.000002	       1.5663334	       74.000002	       1.5663334	       74.000002	       1.5663334	           0
