Particle number,Diameter,Area,Center X,Center Y
1,"432,236842105281","146734,784226769","698,752631578947","243,157894736842"
2,"434,210526315807","148077,887378821","876,552631578947","295,184210526316"
3,"451,973684210544","160441,167190759","535,594736842105","553,378947368421"
4,"442,105263157912","153511,489196688","1037,5","421,157894736842"
5,"432,23684210528","146734,784226769","150,889473684211","711,626315789474"
6,"424,342105263175","141423,560828223","44,6210526315789","818,842105263158"
7,"463,815789473702","168958,705175524","664,21052631579","371,578947368421"
8,"422,368421052649","140111,052281002","826,473684210526","108,357894736842"
9,"420,394736842123","138804,662654747","966,773684210526","90,421052631579"
10,"418,421052631597","137504,391949458","362,963157894737","697,9"
