d / dilky	  d / nm	signal
  16.9999	 373.034	    9
  17.0003	 373.053	    9
  17.0007	 373.073	    9
  17.0010	 373.093	    9
  17.0014	 373.112	    9
  17.0018	 373.132	    9
  17.0021	 373.151	    9
  17.0025	 373.171	    9
  17.0029	 373.190	    9
  17.0033	 373.210	    9
  17.0036	 373.230	    9
  17.0040	 373.249	    9
  17.0044	 373.269	    9
  17.0047	 373.288	    9
  17.0051	 373.308	    9
  17.0055	 373.327	    9
  17.0058	 373.347	    9
  17.0062	 373.367	    9
  17.0066	 373.386	    9
  17.0069	 373.406	    8
  17.0073	 373.425	    9
  17.0077	 373.445	    8
  17.0081	 373.464	    9
  17.0084	 373.484	    9
  17.0088	 373.503	    9
  17.0092	 373.523	    9
  17.0095	 373.543	    9
  17.0099	 373.562	    8
  17.0103	 373.582	    9
  17.0106	 373.601	    8
  17.0110	 373.621	    9
  17.0114	 373.640	    9
  17.0118	 373.660	    9
  17.0121	 373.680	    9
  17.0125	 373.699	    9
  17.0129	 373.719	    9
  17.0132	 373.738	    9
  17.0136	 373.758	    9
  17.0140	 373.777	    9
  17.0143	 373.797	    8
  17.0147	 373.817	    9
  17.0151	 373.836	    8
  17.0155	 373.856	    9
  17.0158	 373.875	    8
  17.0162	 373.895	    9
  17.0166	 373.914	    8
  17.0169	 373.934	    9
  17.0173	 373.953	    8
  17.0177	 373.973	    9
  17.0180	 373.993	    8
  17.0184	 374.012	    9
  17.0188	 374.032	    8
  17.0192	 374.051	    8
  17.0195	 374.071	    8
  17.0199	 374.090	    8
  17.0203	 374.110	    8
  17.0206	 374.130	    8
  17.0210	 374.149	    8
  17.0214	 374.169	    8
  17.0217	 374.188	    8
  17.0221	 374.208	    8
  17.0225	 374.227	    8
  17.0229	 374.247	    8
  17.0232	 374.267	    8
  17.0236	 374.286	    8
  17.0240	 374.306	    8
  17.0243	 374.325	    8
  17.0247	 374.345	    8
  17.0251	 374.364	    8
  17.0254	 374.384	    8
  17.0258	 374.404	    8
  17.0262	 374.423	    8
  17.0266	 374.443	    8
  17.0269	 374.462	    8
  17.0273	 374.482	    8
  17.0277	 374.501	    8
  17.0280	 374.521	    8
  17.0284	 374.540	    8
  17.0288	 374.560	    8
  17.0291	 374.580	    8
  17.0295	 374.599	    8
  17.0299	 374.619	    8
  17.0302	 374.638	    8
  17.0306	 374.658	    8
  17.0310	 374.677	    8
  17.0314	 374.697	    8
  17.0317	 374.717	    8
  17.0321	 374.736	    8
  17.0325	 374.756	    8
  17.0328	 374.775	    8
  17.0332	 374.795	    8
  17.0336	 374.814	    8
  17.0339	 374.834	    8
  17.0343	 374.854	    8
  17.0347	 374.873	    8
  17.0351	 374.893	    8
  17.0354	 374.912	    8
  17.0358	 374.932	    8
  17.0362	 374.951	    8
  17.0365	 374.971	    8
  17.0369	 374.990	    8
  17.0373	 375.010	    8
  17.0376	 375.030	    8
  17.0380	 375.049	    8
