d / dilky	  d / nm	signal
  24.4999	 769.812	    6
  24.5003	 769.832	    7
  24.5006	 769.851	    6
  24.5010	 769.871	    7
  24.5014	 769.890	    6
  24.5017	 769.910	    7
  24.5021	 769.929	    6
  24.5025	 769.949	    6
  24.5028	 769.969	    6
  24.5032	 769.988	    7
  24.5036	 770.008	    6
  24.5040	 770.027	    7
  24.5043	 770.047	    6
  24.5047	 770.066	    7
  24.5051	 770.086	    6
  24.5054	 770.106	    7
  24.5058	 770.125	    6
  24.5062	 770.145	    6
  24.5065	 770.164	    6
  24.5069	 770.184	    7
  24.5073	 770.203	    6
  24.5077	 770.223	    7
  24.5080	 770.243	    6
  24.5084	 770.262	    7
  24.5088	 770.282	    6
  24.5091	 770.301	    7
  24.5095	 770.321	    6
  24.5099	 770.340	    7
  24.5102	 770.360	    6
  24.5106	 770.379	    6
  24.5110	 770.399	    6
  24.5114	 770.419	    7
  24.5117	 770.438	    6
  24.5121	 770.458	    7
  24.5125	 770.477	    6
  24.5128	 770.497	    7
  24.5132	 770.516	    6
  24.5136	 770.536	    7
  24.5139	 770.556	    7
  24.5143	 770.575	    7
  24.5147	 770.595	    7
  24.5151	 770.614	    7
  24.5154	 770.634	    6
  24.5158	 770.653	    7
  24.5162	 770.673	    6
  24.5165	 770.693	    7
  24.5169	 770.712	    6
  24.5173	 770.732	    7
  24.5176	 770.751	    6
  24.5180	 770.771	    7
  24.5184	 770.790	    6
  24.5187	 770.810	    7
  24.5191	 770.830	    7
  24.5195	 770.849	    7
  24.5199	 770.869	    7
  24.5202	 770.888	    7
  24.5206	 770.908	    7
  24.5210	 770.927	    7
  24.5213	 770.947	    6
  24.5217	 770.966	    7
  24.5221	 770.986	    7
  24.5224	 771.006	    7
  24.5228	 771.025	    6
  24.5232	 771.045	    7
  24.5236	 771.064	    7
  24.5239	 771.084	    7
  24.5243	 771.103	    7
  24.5247	 771.123	    7
  24.5250	 771.143	    7
  24.5254	 771.162	    7
  24.5258	 771.182	    7
  24.5261	 771.201	    7
  24.5265	 771.221	    7
  24.5269	 771.240	    7
  24.5273	 771.260	    7
  24.5276	 771.280	    7
  24.5280	 771.299	    7
  24.5284	 771.319	    7
  24.5287	 771.338	    7
  24.5291	 771.358	    7
  24.5295	 771.377	    7
  24.5298	 771.397	    7
  24.5302	 771.416	    7
  24.5306	 771.436	    7
  24.5310	 771.456	    7
  24.5313	 771.475	    7
  24.5317	 771.495	    7
  24.5321	 771.514	    7
  24.5324	 771.534	    7
  24.5328	 771.553	    7
  24.5332	 771.573	    7
  24.5335	 771.593	    7
  24.5339	 771.612	    7
  24.5343	 771.632	    7
  24.5347	 771.651	    7
  24.5350	 771.671	    7
  24.5354	 771.690	    7
  24.5358	 771.710	    7
  24.5361	 771.730	    7
  24.5365	 771.749	    7
  24.5369	 771.769	    7
  24.5372	 771.788	    7
  24.5376	 771.808	    7
  24.5380	 771.827	    7
  24.5384	 771.847	    7
  24.5387	 771.867	    7
  24.5391	 771.886	    7
  24.5395	 771.906	    7
  24.5398	 771.925	    7
  24.5402	 771.945	    7
  24.5406	 771.964	    7
  24.5409	 771.984	    7
  24.5413	 772.003	    7
  24.5417	 772.023	    7
  24.5420	 772.043	    7
